name,artist,album,albumType,id,explict
End of the World,Miley Cyrus,Something Beautiful,album,2rDMtmPctM67hICAZTKAjx,False
More to Lose,Miley Cyrus,Something Beautiful,album,28RGHzCKNZEAWquYbZl3EI,False
Every Girl You've Ever Loved (feat. Naomi Campbell),Miley Cyrus,Something Beautiful,album,22WFoPT9VIJlZ0VcJVkCpm,False
Walk of Fame (feat. Brittany Howard),Miley Cyrus,Something Beautiful,album,4EJjVfB2pQNn0ZFe1DgUOX,False
Golden Burning Sun,Miley Cyrus,Something Beautiful,album,3MYz54tDi5fnEJjjCfPPlZ,False
Cry For Me,The Weeknd,Hurry Up Tomorrow,album,3AWDeHLc88XogCaCnZQLVI,True
The Beast,Lady Gaga,MAYHEM,album,08svDlp6TNFlfMIgjjZlYI,False
Ordinary,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",album,2RkZ5LkEzeHGRsmDqKwmaJ,False
My Gun,Tove Lo,Queen Of The Clouds,album,4GRvHGd3CIKbwEXmPJioXU,False
Signs,Tate McRae,So Close To What,album,6DDEfqOoLlasIbPdzboOu4,True
How Bad Do U Want Me,Lady Gaga,MAYHEM,album,2rvd6akG8qEtBNUvQpN7iY,True
Snap Back,Twenty One Pilots,Clancy,album,5QPGnFslbDUQ7mDteKn3By,False
BITCH,GG Magree,Dichotomy,single,5smthiQvz7Nn5IKIy6d38W,True
Abracadabra,Lady Gaga,MAYHEM,album,2LHNTC9QZxsL3nWpt8iaSR,False
SKINNY,Billie Eilish,HIT ME HARD AND SOFT,album,1CsMKhwEmNnmvHUuO5nryA,False
Hero (feat. Christina Perri),Cash Cash,"Blood, Sweat & 3 Years",album,5g1BARk25uUJtEPSUwcjnU,False
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),single,7CyPwkp0oE8Ro9Dd5CUDjW,False
guilty conscience,Tate McRae,THINK LATER,album,2wIcebwzceIwgonsDICx6P,True
WTF Do I Know,Miley Cyrus,Plastic Hearts,album,37PJvlIfYWqEX6fgjHlnTf,True
Flashes,Tove Lo,Lady Wood,album,6iejlH2IrAmsvjfgjlaq9Z,True
True Disaster,Tove Lo,Lady Wood,album,6s7PleW93OfE3YnujL9yxw,True
In Your Pocket,Maroon 5,V,album,6SCh4BKjB0il6zKgtSiasQ,True
Rise Up,Imagine Dragons,Evolve,album,3zT2616WcD9Df5m21OsCX0,False
Midnight City,M83,"Hurry up, We're Dreaming",album,6GyFP1nfCDB8lbD2bG0Hq9,False
Who’s Afraid of Little Old Me?,Taylor Swift,THE TORTURED POETS DEPARTMENT,album,36t6frENUtCYKuZus6aYDO,False
Glad He's Gone,Tove Lo,Sunshine Kitty,album,3PUIguYpwKFXmfGD6uU7Jl,True
BLUE,Billie Eilish,HIT ME HARD AND SOFT,album,2prqm9sPLj10B4Wg0wE5x9,False
I'm Not The Only One,Sam Smith,In The Lonely Hour,album,7795WJLVKJoAyVoOtCWqXN,False
Still into You,Paramore,Paramore,album,1yjY7rpaAQvKwpdUliHx0d,False
Never Be Me,Miley Cyrus,Plastic Hearts,album,1M7qLcfozANPcMKfgMEHOt,False
Whatever It Takes,Imagine Dragons,Evolve,album,6Qn5zhYkTa37e91HC1D7lb,False
It Was Always You,Maroon 5,V,album,2PLo8T3kGE9URFvBy3tUdt,False
messier,Tate McRae,THINK LATER,album,53H3ajzHjI5M9ZeewvRO3h,True
June Gloom,Camila Cabello,"C,XOXO",album,5fvPYln4Ke77apnrjbbvOo,True
Bad Kids,Lady Gaga,Born This Way (International Special Edition Version),album,3V0kjls4TwzpkhTfILFiCj,False
Secrets,The Weeknd,Starboy,album,00NAQYOP4AmWR549nnYJZu,False
The Nights,Avicii,The Days / Nights,album,0ct6r3EGTcMLPtrXHDvVjc,False
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,album,1oAwsWBovWRIp7qLMGPIet,False
NIRVANA,Katy Perry,143,album,2c6yhYLBR3BZhJoIaBZ1hC,False
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),single,7CyPwkp0oE8Ro9Dd5CUDjW,False
Paper Gangsta,Lady Gaga,The Fame,album,2iY7jqy8zBlbk5RliSfTH1,False
Starstruck,Lady Gaga,The Fame,album,7qPvYVyM7ZU7PHz5LTvRY6,False
On A Roll,Ashley O,On A Roll,single,56JyMaElW79S7TDWh1Zw1m,False
Can I Get It,Adele,30,album,6w8ZPYdnGajyfPddTWdthN,False
BUMBUM DE OURO - AO VIVO,Gloria Groove,LADY LESTE (AO VIVO),album,0R5A7pIzvJ7DPzrqZw07QP,False
Not Your Fault,AWOLNATION,Megalithic Symphony,album,31hUonEmUsEVd0FMRv1s5r,False
All I Need,AWOLNATION,Megalithic Symphony,album,1PYs14WcZ5quGBUBMtkXED,False
Jailbreak,AWOLNATION,Run,album,57UIoWO4bNtnrTRXHvHfbL,False
Panoramic View,AWOLNATION,The Phantom Five,album,4Qf8HOtPqUC1tbPNgIKh3o,False
My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,album,7uGYWMwRy24dm7RUDDhUlD,False
Sail,AWOLNATION,Megalithic Symphony,album,7ueP5u2qkdZbIPN2YA6LR0,False
Like a Prayer,Madonna,Like a Prayer,album,2v7ywbUzCgcVohHaKUcacV,False
La Muerte,Luísa Sonza,Escândalo Íntimo,album,69YqoxUzLcdsXBRpZcqlsn,False
Timebomb,Tove Lo,Queen Of The Clouds,album,25I4pBnup7EeerWd61G61i,False
Run On Love - QOTC Edit,Tove Lo,Queen Of The Clouds,album,2mI2EqovGKO6LbhV5TcTK3,False
Come Undone,Tove Lo,Sunshine Kitty,album,5VnKWH0QvC4u9ridOIFwCC,False
exile (feat. Bon Iver),Taylor Swift,folklore,album,4pvb0WLRcMtbPGmtejJJ6y,False
Interlúdio - Dão Errado,Luísa Sonza,Escândalo Íntimo,album,27efaLcViHM5KjDHUCR4ga,False
Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,Midnights (The Til Dawn Edition),album,4zmKGsrXjLmljb5fTaBTot,True
I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,album,4q5YezDOIPcoLr8R81x9qy,True
I Can Fix Him (No Really I Can),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,album,5chnRTB9qMK3W1M41SnU9s,False
Florida!!! (feat. Florence + The Machine),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,album,5ExOm0dh4NyRyAdSAO9hyM,True
Government Hooker,Lady Gaga,Born This Way (International Special Edition Version),album,6LGwEHsFbxt7BgDwGXqFgj,False
Stay Over,Tove Lo,Sunshine Kitty,album,3iOK7EbYFLtQyz9jwKIw88,False
Not Made For This World,Tove Lo,Queen Of The Clouds,album,6O2urHAlufyVOPlpxpsWJu,False
Moments,Tove Lo,Queen Of The Clouds,album,6ubXleMWwmzwmKTBer20PX,True
Unholy,Miley Cyrus,SHE IS COMING,album,7kzQRB3b9gp2kdjI0dLv8M,False
Love Ballad,Tove Lo,Queen Of The Clouds,album,6vNHE8YbBwLJtTNjGFvWdx,False
Tempos de Glória,Jão,PIRATA,album,2lPiQl4lQXFkEYHNuBfYKV,False
Maybe You're Right,Miley Cyrus,Bangerz (Deluxe Version),album,4nBHndk4Hru2sgGH30GCgu,False
i wish i hated you,Ariana Grande,eternal sunshine,album,5cQX9BexkPIEESTZijJhXg,False
The Grants,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,album,3KbOflJ5JqHWtmco4PiO3h,False
Peppers (feat. Tommy Genesis),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,album,2Rlso2ZNV0PaWwUYeeBYxx,True
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,album,0HEzuLLojblUOaUSdmJ9gl,True
"Paris, Texas (feat. SYML)",Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,album,0Oqxt6JixieLHbwMfnJGWO,False
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,album,46kspZSY3aKmwQe7O77fCC,False
true story,Ariana Grande,eternal sunshine deluxe: brighter days ahead (a cappella version),album,5y0y1hHDwguhjxyIhDGdOO,False
eternal sunshine,Ariana Grande,eternal sunshine,album,3RwWW7KeVhHGayYJgUL5eZ,False
supernatural,Ariana Grande,eternal sunshine,album,142PiXzA84lmEw2RstFHFa,False
true story,Ariana Grande,eternal sunshine,album,14kyXBpg91RVq8bNRDS1q2,False
Margaret (feat. Bleachers),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,album,1o82DwNisONAd2mu1RcGE6,False
How to disappear,Lana Del Rey,Norman Fucking Rockwell!,album,4qUtC2BwFC154Ha8YQRrkk,False
Tomorrow Never Came (feat. Sean Ono Lennon),Lana Del Rey,Lust For Life,album,6VZwnDUMkAZs36g6v9MVQX,False
Beautiful People Beautiful Problems (feat. Stevie Nicks),Lana Del Rey,Lust For Life,album,3O7p9Itz8PXUoAjD2vmuM6,False
dont ask dont tell,Tove Lo,BLUE LIPS (lady wood phase II),album,1N10MdGT4HypP8QA3kmmbQ,True
Water Fountain,Alec Benjamin,Narrated For You,album,4IhKLu7Vk3j2TLmnFPl6To,False
fake smile,Ariana Grande,"thank u, next",album,3wFLWP0FcIqHK1wb1CPthQ,True
Midnight Decisions,Sia,This Is Acting (Deluxe Version),album,5rVElqSBdfsDALQfc7z2ZQ,False
Bird Set Free,Sia,This Is Acting (Deluxe Version),album,6MowG7MRVgPfGlCMsXKMJ2,False
Piano,Ariana Grande,Yours Truly,album,1FSfCzJd8aSQ0nqTSbN4PO,False
Tattooed Heart,Ariana Grande,Yours Truly,album,7JmIjOsRish3vYBSLTytEC,False
Better Left Unsaid,Ariana Grande,Yours Truly,album,0vyQdRbRJRRY8GGuM8eVVI,False
White Mustang,Lana Del Rey,Lust For Life,album,6eygbzyL6hY8jFQTARDuo9,False
Happiness is a butterfly,Lana Del Rey,Norman Fucking Rockwell!,album,3lG6OtGDsYAOALxEmubQQm,False
Last Christmas,Wham!,LAST CHRISTMAS,single,2FRnf9qhLbvw8fu4IBXx78,False
We Are Young (feat. Janelle Monáe),fun.,Some Nights,album,5rgy6ghBq1eRApCkeUdJXf,False
Feather,Sabrina Carpenter,emails i can’t send fwd:,album,2Zo1PcszsT9WQ0ANntJbID,True
Been Like This,Doja Cat,Planet Her,album,7y3xU9vEC1s8DSuuoSYKih,True
All I Want - Love That Lasts Mix,Olivia Rodrigo,All I Want (Love That Lasts Mix),single,05ZA9WD25P4ynY41Bd15Km,False
Nonsense,Sabrina Carpenter,emails i can't send,album,6dgUya35uo964z7GZXM07g,False
decode,Sabrina Carpenter,emails i can't send,album,17wMOhLqVB3DRCmTaLjwVM,False
bet u wanna,Sabrina Carpenter,emails i can't send,album,1RAeuvRyRzCweAK3jUT0ZW,False
NDA,Billie Eilish,Happier Than Ever,album,38GBNKZUhfBkk3oNlWzRYd,True
Read your Mind,Sabrina Carpenter,emails i can't send,album,4Wos0h9ECU2Z3oJMTQxpbc,False
God Bless America - And All The Beautiful Women In It,Lana Del Rey,Lust For Life,album,7nns9KjsadA1Cx7as2eGNG,False
panorama,Hayley Kiyoko,PANORAMA,album,7CM0JwhONajGpNY2a2KIra,False
Learn To Let Go,Kesha,Rainbow,album,1g1TeDflB6atAy7HKwrzXu,False
Miss Movin' On,Fifth Harmony,Miss Movin' On,single,0gL0Xf8CN95HmgfEYYLRZV,False
It Will Rain,Bruno Mars,It Will Rain,single,0M3HkE321xpCbCYqVKzr1q,False
So Happy I Could Die,Lady Gaga,The Fame Monster (Deluxe Edition),album,4MfBFhIBXrmqrczjYqasLp,False
Monster,Lady Gaga,The Fame Monster (Deluxe Edition),album,2WgyOP8Z1D6GQYumCwH4Dk,True
Dance In The Dark,Lady Gaga,The Fame Monster (Deluxe Edition),album,6Qh10T7u43YciJsJa99R3v,True
Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),album,0SiywuOBRcynK0uKGWdCnn,True
Alejandro,Lady Gaga,The Fame Monster (Deluxe Edition),album,1HHeOs6zRdF8Ck58easiAY,False
End Game,Taylor Swift,reputation,album,2x0WlnmfG39ZuDmstl9xfX,False
WOW,Zara Larsson,Poster Girl,album,7Hl6ugkpaxbkseHzSnqlxB,True
Too Late,The Weeknd,After Hours,album,2K9Ovn1o2bTGqbsABGC6m3,True
Red,Taylor Swift,Red (Deluxe Edition),album,7gJtmLyPTwKzhGzMBXtuXH,False
State Of Grace (Taylor's Version),Taylor Swift,Red (Taylor's Version),album,6lzc0Al0zfZOIFsFvBS1ki,False
One Time,Justin Bieber,My World,album,6eDApnV9Jdb1nYahOlbbUh,False
I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),album,6AtZLIzUINvExIUy4QhdjP,False
A Dona Aranha,Luísa Sonza,Escândalo Íntimo,album,181TYnNi3wNGrdsCykmI4A,False
Too Little Too Late - 2018,JoJo,The High Road (2018),album,3hc7PLcmuZbJGPjhIore1i,False
Faith,The Weeknd,After Hours,album,3orEOtd8CPL8GFlpRpKuoE,True
Heartless,The Weeknd,After Hours,album,6bnF93Rx87YqUBLSgjiMU8,True
Escape From LA,The Weeknd,After Hours,album,1sOW4PuG5X3Ie3EXUhAopJ,True
Snowchild,The Weeknd,After Hours,album,3WlbeuhfRSqU7ylK2Ui5U7,True
Scared To Live,The Weeknd,After Hours,album,4BGZF4oLbTL0pWm7C18pbv,True
Used To Be Young,Miley Cyrus,Endless Summer Vacation,album,41WQUSINanQHfhfKpFDsms,False
Ordinary Life,The Weeknd,Starboy,album,15k2nBQJ0teDmPZHrOXL2N,False
Anti-Hero,Taylor Swift,Midnights,album,0V3wPSX9ygBnCm8psDIegu,False
Labyrinth,Taylor Swift,Midnights,album,0A1JLUlkZkp2EFrosoNQi0,False
Getaway Car,Taylor Swift,reputation,album,0VE4kBnHJUgtMf0dy6DRmW,False
Alone Again,The Weeknd,After Hours,album,6b5P51m8xx2XA6U7sdNZ5E,True
Straight Into The Fire,Zedd,True Colors,album,1Aw0wPIW70GsV9KoD8m7Ps,False
Born Again,Bebe Rexha,Bebe,album,29y1cN7e9sTX0gBx4y7OCv,False
Seasons,Bebe Rexha,Bebe,album,3HCPcK7bCPAczLUfRmZEUn,False
I Am,Bebe Rexha,Bebe,album,3Khgm6HFzZigZHLADXYdwi,False
raindrops (an angel cried),Ariana Grande,Sweetener,album,0v2LUO8oTHnkjQ8MmKuXyk,False
Love song,Lana Del Rey,Norman Fucking Rockwell!,album,5tyMJlMqaggzvuX7TtlrTe,True
Bartender,Lana Del Rey,Norman Fucking Rockwell!,album,5USsRaiqL1RNKRm1fTJ3JM,False
The Next Best American Record,Lana Del Rey,Norman Fucking Rockwell!,album,7vRfxLcDDwgYW2WTrtEgUV,False
You Are In Love,Taylor Swift,1989 (Deluxe),album,2KrOAg6FftbjgSKdd2a4rS,False
TUNNEL VISION,Melanie Martinez,PORTALS,album,183WuVX0zsr0dHydHkKtGQ,True
BATTLE OF THE LARYNX,Melanie Martinez,PORTALS,album,3jBJbxZSaVkaHRrUqEZ1eb,False
EVIL,Melanie Martinez,PORTALS,album,6UW10CbMTvqciT3X3Ldeox,True
The Bakery,Melanie Martinez,K-12 (After School – Deluxe Edition),album,5xlntPcXIDzcpHZjpQKcU2,True
I Wanna Be Yours,Arctic Monkeys,AM,album,5XeFesFbtLpXzIVDNQP22n,False
THE CONTORTIONIST,Melanie Martinez,PORTALS,album,19SwuhO0bMiAcg2kyJydmj,True
Mary On A Cross,Ghost,Seven Inches of Satanic Panic,single,2wBnZdVWa5jVpvYRfGU7rP,False
The greatest,Lana Del Rey,Norman Fucking Rockwell!,album,6ERZ30cRjVWGtVLhczX9aL,True
